"","Frost_Input_CKA.variable","evpi_mobile_windmachine_CKA","evpi_candles_CKA","evpi_stationary_windmachine_CKA","evpi_ov_irrigation_CKA","evpi_ut_irrigation_CKA","evpi_frostbuster_CKA","evpi_frostguard_CKA","evpi_heaters_CKA"
"93","pellets_in_heater",0,0,0,0,0,0,0,0
"94","planning_cost_frost_protection",0,0,0,0,0,0,0,0
"95","pond_costs",0,0,0,0,0,0,0,0
"96","pond_dimensioning_irrigation",0,0,0,0,0,0,0,0
"97","price_increase_frost",0,0,0,0,0,0,0,0
"98","pump_and_filter_costs_ov_irrigation",0,0,0,0,0,0,0,0
"99","pump_and_filter_costs_ut_irrigation",0,0,0,0,0,0,0,0
"100","resale_value_candles",0,0,0,0,0,0,0,0
"101","percentage_residual_value_frostbuster",0,0,0,0,0,0,0,0
"102","percentage_residual_value_frostguard",0,0,0,0,0,0,0,0
"103","percentage_residual_value_heaters",0,0,0,0,0,0,0,0
"104","percentage_residual_value_mobile_windmachine",0,0,0,0,0,0,0,0
"105","percentage_residual_value_pond",0,0,0,0,0,0,0,0
"106","percentage_residual_value_stationary_windmachine",0,0,0,0,0,0,0,0
"107","risk_branch_fracture_ov_irrigation",0,0,0,0,0,0,0,0
"108","risk_damage_wrong_conditions_windmachine",0,0,0,0,0,0,0,0
"109","risk_frozen_water_line_ov_irrigation",0,0,0,0,0,0,0,0
"110","risk_frozen_water_line_ut_irrigation",0,0,0,0,0,0,0,0
"111","risk_ineffective_protection_candles",0,0,0,0,0,0,0,0
"112","risk_ineffective_protection_frostbuster",0,0,0,0,0,0,0,0
"113","risk_ineffective_protection_frostguard",0,0,0,0,0,0,0,0
"114","risk_ineffective_protection_heaters",0,0,0,0,0,0,0,0
"115","risk_ineffective_protection_mobile_windmachine",0,0,0,0,0,0,0,0
"116","risk_ineffective_protection_stationary_windmachine",0,0,0,0,0,0,0,0
"117","risk_late_start",0,0,0,0,0,0,0,0
"118","risk_missed_preparation",0,0,0,0,0,0,0,0
"119","risk_missed_protection",0,0,0,0,0,0,0,0
"120","risk_plant_burns_frostbuster",0,0,0,0,0,0,0,0
"121","risk_plant_burns_frostguard",0,0,0,0,0,0,0,0
"122","risk_pseudomonas_ov_irrigation",0,0,0,0,0,0,0,0
"123","risk_soil_drying_mulching",0,0,0,0,0,0,0,0
"124","risk_unnecessary_preparation",0,0,0,0,0,0,0,0
"125","risk_waterlogging_ov_irrigation",0,0,0,0,0,0,0,0
"126","risk_waterlogging_ut_irrigation",0,0,0,0,0,0,0,0
"127","second_yield_percent",0,0,0,0,0,0,0,0
"128","sold_out_risk_candles",0,0,0,0,0,0,0,0
"129","sold_out_risk_gas",0,0,0,0,0,0,0,0
"130","sold_out_risk_pellets",0,0,0,0,0,0,0,0
"131","start_stop_time_frostguard",0,0,0,0,0,0,0,0
"132","stationary_windmachine_price",0,0,0,0,0,0,0,0
"133","storage_cost_per_candle",0,0,0,0,0,0,0,0
"134","storage_cost_per_heater",0,0,0,0,0,0,0,0
"135","storage_recommendation",0,0,0,0,0,0,0,0
"136","storage_recommendation_pellets",0,0,0,0,0,0,0,0
"137","supervision_time_frostguard",0,0,0,0,0,0,0,0
"138","tech_failure_risk_frostbuster",0,0,0,0,0,0,0,0
"139","tech_failure_risk_frostguard",0,0,0,0,0,0,0,0
"140","tech_failure_risk_ov_irrigation",0,0,0,0,0,0,0,0
"141","tech_failure_risk_ut_irrigation",0,0,0,0,0,0,0,0
"142","tech_failure_risk_windmachine",0,0,0,0,0,0,0,0
"143","terrain_correction_price",0,0,0,0,0,0,0,0
"144","time_to_first_yield_est",0,0,0,0,0,0,0,0
"145","time_to_second_yield_est",0,0,0,0,0,0,0,0
"146","transport_costs_field_candles",0,0,0,0,0,0,0,0
"147","transport_costs_field_frostguard",0,0,0,0,0,0,0,0
"148","transport_costs_field_heaters",0,0,0,0,0,0,0,0
"149","transport_costs_field_mobile_windmachine",0,0,0,0,0,0,0,0
"150","travel_time_field",0,0,0,0,0,0,0,0
"151","unnecessary_start_risk",0,0,0,0,0,0,0,0
"152","var_cv_bottle_change_frostguard",0,0,0,0,0,0,0,0
"153","var_cv_burning_time_candles",0,0,0,0,0,0,0,0
"154","var_cv_candle_change",0,0,0,0,0,0,0,0
"155","var_cv_candle_extingtion",0,0,0,0,0,0,0,0
"156","var_cv_candle_ignition",0,0,0,0,0,0,0,0
"157","var_cv_candle_placing",0,0,0,0,0,0,0,0
"158","var_cv_candle_removing",0,0,0,0,0,0,0,0
"159","var_cv_cost_change_frost",0,0,0,0,0,0,0,0
"160","var_cv_costs_additional_fertilizer_ut_irrigation",0,0,0,0,0,0,0,0
"161","var_cv_costs_branch_fracture",0,0,0,0,0,0,0,0
"162","var_cv_costs_pseudomonas",0,0,0,0,0,0,0,0
"163","var_cv_costs_waterlogging",0,0,0,0,0,0,0,0
"164","var_cv_diesel_price",0,0,0,0,0,0,0,0
"165","var_cv_efficiency_candles",0,0,0,0,0,0,0,0
"166","var_cv_efficiency_frostbuster",0,0,0,0,0,0,0,0
"167","var_cv_efficiency_frostguard",0,0,0,0,0,0,0,0
"168","var_cv_efficiency_heaters",0,0,0,0,0,0,0,0
"169","var_cv_efficiency_loss_dry_soil",0,0,0,0,0,0,0,0
"170","var_cv_efficiency_ov_irrigation",0,0,0,0,0,0,0,0
"171","var_cv_efficiency_reduce_smaller_problem_candles",0,0,0,0,0,0,0,0
"172","var_cv_efficiency_reduce_smaller_problem_frostbuster",0,0,0,0,0,0,0,0
"173","var_cv_efficiency_reduce_smaller_problem_frostguard",0,0,0,0,0,0,0,0
"174","var_cv_efficiency_reduce_smaller_problem_heaters",0,0,0,0,0,0,0,0
"175","var_cv_efficiency_reduce_smaller_problem_ov_irrigation",0,0,0,0,0,0,0,0
"176","var_cv_efficiency_reduce_smaller_problem_ut_irrigation",0,0,0,0,0,0,0,0
"177","var_cv_efficiency_reduce_smaller_problem_windmachine",0,0,0,0,0,0,0,0
"178","var_cv_efficiency_ut_irrigation",0,0,0,0,0,0,0,0
"179","var_cv_efficiency_windmachine",0,0,0,0,0,0,0,0
"180","var_cv_fuel_frostbuster",0,0,0,0,0,0,0,0
"181","var_cv_fuel_windmachine",0,0,0,0,0,0,0,0
"182","var_cv_post_harvest_costs",0,0,0,0,0,0,0,0
"183","var_cv_harvest_costs",0,0,0,0,0,0,0,0
"184","var_cv_heater_deconstruction",0,0,0,0,0,0,0,0
"185","var_cv_heater_ignition",0,0,0,0,0,0,0,0
"186","var_cv_heater_preparation",0,0,0,0,0,0,0,0
"187","var_cv_loss_burns_frostbuster",0,0,0,0,0,0,0,0
"188","var_cv_loss_burns_frostguard",0,0,0,0,0,0,0,0
"189","var_cv_loss_frost",0,0,0,0,0,0,0,0
"190","var_cv_maintenance_costs_ut_irrigation",0,0,0,0,0,0,0,0
"191","var_cv_maintenance_frostbuster",0,0,0,0,0,0,0,0
"192","var_cv_maintenance_frostguard",0,0,0,0,0,0,0,0
"193","var_cv_maintenance_heaters",0,0,0,0,0,0,0,0
"194","var_cv_maintenance_mobile_windmachine",0,0,0,0,0,0,0,0
"195","var_cv_maintenance_ov_irrigation",0,0,0,0,0,0,0,0
"196","var_cv_maintenance_stationay_windmachine",0,0,0,0,0,0,0,0
"197","var_cv_pellet_price",0,0,0,0,0,0,0,0
"198","var_cv_pellet_refill_time_heaters",0,0,0,0,0,0,0,0
"199","var_cv_plant_protection_ov_irrigation",0,0,0,0,0,0,0,0
"200","var_cv_price",0,0,0,0,0,0,0,0
"201","var_cv_production_costs",0,0,0,0,0,0,0,0
"202","var_cv_pump_operating_costs",0,0,0,0,0,0,0,0
"203","var_cv_setup_time_frostbuster",0,0,0,0,0,0,0,0
"204","var_cv_setup_time_frostguard",0,0,0,0,0,0,0,0
"205","var_cv_setup_time_mobile_windmachine",0,0,0,0,0,0,0,0
"206","var_cv_start_stop_time_mobile_windmachine",0,0,0,0,0,0,0,0
"207","var_cv_start_stop_time_stationary_windmachine",0,0,0,0,0,0,0,0
"208","var_cv_unnecessary_starts",0,0,0,0,0,0,0,0
"209","var_cv_yield",0,0,0,0,0,0,0,0
"210","water_lines_on_field_costs_ov_irrigation",0,0,0,0,0,0,0,0
"211","water_lines_on_field_costs_ut_irrigation",0,0,0,0,0,0,0,0
"212","water_need_ov_irrigation",0,0,0,0,0,0,0,0
"213","water_need_ut_irrigation",0,0,0,0,0,0,0,0
"214","water_price",0,0,0,0,0,0,0,0
"215","well_drilling_costs",0,0,0,0,0,0,0,0
"216","wind_risk_ov_irrigation",0,0,0,0,0,0,0,0
"217","wind_risk_ut_irrigation",0,0,0,0,0,0,0,0
"218","yield_damage_frost_ov_irrigation_failure",0,0,0,0,0,0,0,0
"219","yield_damage_wrong_conditions_windmachine",0,0,0,0,0,0,0,0
"220","var_cv_heater_cover_removed",0,0,0,0,0,0,0,0
"221","percentage_funding_irrigation_infrastructure",0,0,0,0,0,0,0,0
"222","frost_risk",0,0,0,0,0,0,0,0
"223","mean_frost_duration",0,0,0,0,0,0,0,0
"224","mean_n_nights_frost",0,0,4.68739268480634,0,0,0,0,0
"225","mean_post_harvest_costs",0,0,0,0,0,0,0,0
"226","mean_price",0,0,0,0,0,0,0,0
"227","share_harmful_frost",0,0,0,0,0,0,0,0
"228","var_cv_frost_duration",0,0,0,0,0,0,0,0
"229","var_cv_n_nights_frost",0,0,0,0,0,0,0,0
"230","water_withdrawl_fee",0,0,0,0,0,0,0,0
